EDGES=66626, DATE=2018-03-12 18:28,, STEPSIZE=100,
Number of edges,Largest component size,,Average Clustering Coefficient,
52500,15966,0,0.033934076,0
52600,15981,0,0.033939604,0
52700,16002,0,0.034261485,0
52800,16027,0,0.034478168,0
52900,16045,0,0.034529427,0
53000,16080,0,0.034680155,0
53100,16101,0,0.034766636,0
53200,16125,0,0.034767492,0
53300,16140,0,0.03475275,0
53400,16176,0,0.034883733,0
53500,16192,0,0.03493383,0
53600,16213,0,0.034986928,0
53700,16242,0,0.034944815,0
53800,16264,0,0.0350073,0
53900,16273,0,0.035047352,0
54000,16287,0,0.035110367,0
54100,16330,0,0.035316802,0
54200,16362,0,0.035387009,0
54300,16386,0,0.035453131,0
54400,16410,0,0.035599193,0
54500,16439,0,0.035853054,0
54600,16465,0,0.036019324,0
54700,16481,0,0.036163731,0
54800,16497,0,0.036129781,0
54900,16516,0,0.036068667,0
55000,16528,0,0.036083293,0
55100,16560,0,0.036105203,0
55200,16576,0,0.036252054,0
55300,16605,0,0.036250958,0
55400,16626,0,0.036233687,0
55500,16658,0,0.036412701,0
55600,16681,0,0.036440631,0
55700,16706,0,0.036439823,0
55800,16731,0,0.036568712,0
55900,16765,0,0.036526173,0
56000,16798,0,0.036581112,0
56100,16820,0,0.036711126,0
56200,16830,0,0.036747313,0
56300,16841,0,0.036810364,0
56400,16861,0,0.036899963,0
56500,16885,0,0.037037265,0
56600,16900,0,0.037131253,0
56700,16927,0,0.037093785,0
56800,16942,0,0.037125579,0
56900,16955,0,0.037112105,0
57000,16967,0,0.037329869,0
57100,16985,0,0.037413848,0
57200,17005,0,0.037474199,0
57300,17024,0,0.037474884,0
57400,17047,0,0.037560863,0
57500,17059,0,0.037545056,0
57600,17075,0,0.037547239,0
57700,17089,0,0.037546096,0
57800,17107,0,0.037557242,0
57900,17127,0,0.037662236,0
58000,17155,0,0.037701244,0
58100,17188,0,0.037730963,0
58200,17219,0,0.037792825,0
58300,17236,0,0.037761196,0
58400,17254,0,0.037801908,0
58500,17272,0,0.037870502,0
58600,17287,0,0.038224428,0
58700,17308,0,0.038144487,0
58800,17331,0,0.038241318,0
58900,17348,0,0.038309064,0
59000,17363,0,0.038376184,0
59100,17389,0,0.038403078,0
59200,17415,0,0.038410543,0
59300,17425,0,0.038513611,0
59400,17458,0,0.038819217,0
59500,17473,0,0.038757576,0
59600,17495,0,0.038796169,0
59700,17532,0,0.039117641,0
59800,17558,0,0.039086854,0
59900,17577,0,0.039078824,0
60000,17594,0,0.039110744,0
60100,17604,0,0.039223261,0
60200,17626,0,0.039309821,0
60300,17641,0,0.03934522,0
60400,17662,0,0.03932022,0
60500,17677,0,0.039360811,0
60600,17693,0,0.039410705,0
60700,17712,0,0.039444705,0
60800,17753,0,0.039422969,0
60900,17781,0,0.039457221,0
61000,17804,0,0.039602877,0
61100,17830,0,0.039711795,0
61200,17851,0,0.039877498,0
61300,17871,0,0.039926956,0
61400,17888,0,0.039934824,0
61500,17915,0,0.039954691,0
61600,17930,0,0.040055823,0
61700,17948,0,0.040031594,0
61800,17972,0,0.040005868,0
61900,17997,0,0.039945447,0
62000,18007,0,0.039985147,0
62100,18018,0,0.039930267,0
62200,18045,0,0.039957632,0
62300,18064,0,0.039970415,0
62400,18093,0,0.040044331,0
62500,18115,0,0.040098765,0
62600,18131,0,0.04011842,0
62700,18155,0,0.040196124,0
62800,18182,0,0.040303127,0
62900,18203,0,0.04033917,0
63000,18215,0,0.040382395,0
63100,18251,0,0.040435398,0
63200,18268,0,0.040494849,0
63300,18284,0,0.040587104,0
63400,18306,0,0.040619223,0
63500,18324,0,0.040654153,0
63600,18353,0,0.040740357,0
63700,18363,0,0.040796687,0
63800,18379,0,0.040817742,0
63900,18399,0,0.040778778,0
64000,18421,0,0.040803297,0
64100,18453,0,0.040888754,0
64200,18465,0,0.041019048,0
64300,18491,0,0.041079442,0
64400,18512,0,0.041026981,0
64500,18525,0,0.041014997,0
64600,18543,0,0.041041442,0
64700,18563,0,0.041036492,0
64800,18580,0,0.040970608,0
64900,18597,0,0.041018953,0
65000,18614,0,0.041047209,0
65100,18625,0,0.041059025,0
65200,18639,0,0.041082373,0
65300,18656,0,0.041103793,0
65400,18672,0,0.041108024,0
65500,18683,0,0.041234711,0
65600,18699,0,0.041405321,0
65700,18723,0,0.041417475,0
65800,18740,0,0.041532287,0
65900,18755,0,0.041589597,0
66000,18777,0,0.041701964,0
66100,18806,0,0.041727288,0
66200,18824,0,0.041629289,0
66300,18844,0,0.041590916,0
66400,18860,0,0.041571624,0
66500,18876,0,0.04166205,0
66600,18881,0,0.041703693,0
