EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
13300,9825.35,133.0314249,2.23E-05,5.03E-05
13350,9862.3,138.4239864,2.26E-05,5.05E-05
13400,9900.7,132.5591189,2.26E-05,5.05E-05
13450,9942.2,132.4132924,2.26E-05,5.05E-05
13500,9981.85,132.9011663,2.26E-05,5.05E-05
13550,10023.1,138.2409491,2.26E-05,5.05E-05
13600,10061.6,143.1988827,2.26E-05,5.05E-05
13650,10105.55,139.8842379,2.26E-05,5.05E-05
13700,10147.05,144.2042995,2.26E-05,5.05E-05
13750,10190.5,139.3306858,2.26E-05,5.05E-05
13800,10229.65,135.5628268,2.26E-05,5.05E-05
13850,10264.35,137.1046316,2.26E-05,5.05E-05
13900,10303.3,143.8054241,2.26E-05,5.05E-05
13950,10341.05,142.2091418,2.26E-05,5.05E-05
14000,10377,141.2260599,2.26E-05,5.05E-05
14050,10410.05,140.5529082,2.26E-05,5.04E-05
14100,10448.65,141.3930691,2.24E-05,5.04E-05
14150,10486.6,137.790856,2.24E-05,5.03E-05
14200,10525.95,133.1672632,2.24E-05,5.03E-05
14250,10562,131.1283341,2.24E-05,5.03E-05
14300,10599.35,129.8707049,2.24E-05,5.03E-05
14350,10639.2,124.7785238,2.24E-05,5.03E-05
14400,10678.7,119.1462966,2.28E-05,5.03E-05
14450,10718.45,115.4382952,2.28E-05,5.03E-05
14500,10758.3,114.1195864,2.28E-05,5.03E-05
14550,10801.15,108.2910892,2.32E-05,5.05E-05
14600,10838.1,104.9887613,2.35E-05,5.12E-05
14650,10875.65,105.2224311,2.35E-05,5.12E-05
14700,10913.1,106.8041198,2.44E-05,5.36E-05
14750,10949.25,109.7568221,2.44E-05,5.36E-05
14800,10989.45,108.4756194,2.44E-05,5.36E-05
14850,11028.35,113.5742929,2.44E-05,5.36E-05
14900,11063.55,117.2037542,2.44E-05,5.36E-05
14950,11101.95,125.981586,2.72E-05,5.67E-05
15000,11134.4,130.9879384,2.72E-05,5.67E-05
15050,11166.95,131.4324161,2.73E-05,5.68E-05
15100,11201.05,137.7121636,2.83E-05,5.81E-05
15150,11238.35,128.8835133,2.83E-05,5.81E-05
15200,11271.45,125.8767651,3.12E-05,6.33E-05
15250,11302.9,128.123378,3.24E-05,6.64E-05
15300,11339.4,122.3414893,3.24E-05,6.64E-05
15350,11376.45,120.3185771,3.29E-05,6.72E-05
15400,11410.85,122.8670827,3.29E-05,6.72E-05
15450,11445.6,121.5503188,3.29E-05,6.72E-05
15500,11477.55,123.9519262,3.29E-05,6.72E-05
15550,11514.4,125.2086259,3.29E-05,6.72E-05
15600,11548.85,127.9587434,3.45E-05,7.07E-05
15650,11584.95,130.2105986,3.45E-05,7.07E-05
15700,11617.7,131.0322098,3.68E-05,7.21E-05
15750,11657.55,135.5353828,3.68E-05,7.21E-05
15800,11692.05,136.4823798,3.68E-05,7.20E-05
15850,11729,134.380058,3.64E-05,7.18E-05
15900,11764.5,138.6618909,3.70E-05,7.45E-05
15950,11800.7,140.1519176,3.92E-05,8.03E-05
16000,11834.8,141.6912136,3.92E-05,8.03E-05
16050,11870.15,141.7905498,3.92E-05,8.03E-05
16100,11905.85,143.8685511,4.01E-05,8.09E-05
16150,11941.7,141.951541,4.16E-05,8.48E-05
16200,11974.9,139.3065684,4.16E-05,8.49E-05
16250,12009.35,143.9705525,4.16E-05,8.49E-05
16300,12043.15,143.2399386,4.16E-05,8.49E-05
16350,12077,139.580801,4.16E-05,8.49E-05
16400,12111.3,140.3663777,4.16E-05,8.49E-05
16450,12146.7,141.5799421,4.16E-05,8.49E-05
16500,12180.1,139.2043103,4.16E-05,8.49E-05
16550,12211.8,140.639397,4.16E-05,8.49E-05
16600,12245.7,138.4127162,4.16E-05,8.48E-05
16650,12279.15,132.6963451,4.16E-05,8.48E-05
16700,12311.15,131.1146064,4.18E-05,8.53E-05
16750,12344.25,128.0199984,4.27E-05,8.54E-05
16800,12373.25,124.0277388,4.27E-05,8.54E-05
16850,12406.9,125.6671795,4.31E-05,8.60E-05
16900,12435.9,124.4585071,4.31E-05,8.60E-05
16950,12468.6,119.710317,4.31E-05,8.60E-05
17000,12501.05,118.4699118,4.36E-05,8.69E-05
17050,12533.95,119.9663286,4.35E-05,8.67E-05
17100,12563.5,119.6618569,4.56E-05,9.58E-05
17150,12597,117.8086584,4.56E-05,9.58E-05
17200,12629.7,117.4420708,4.56E-05,9.57E-05
17250,12663.7,116.007586,4.56E-05,9.57E-05
17300,12693.8,117.8497348,4.56E-05,9.57E-05
17350,12721.95,119.9863326,4.62E-05,9.45E-05
17400,12752.6,120.8585951,4.62E-05,9.45E-05
17450,12785.6,121.3421609,4.62E-05,9.45E-05
17500,12818.85,121.9734397,4.62E-05,9.44E-05
17550,12850.7,125.1383235,4.64E-05,9.44E-05
17600,12881.8,124.6768623,4.64E-05,9.44E-05
17650,12914.05,122.8394074,4.64E-05,9.44E-05
17700,12947.45,121.187128,4.64E-05,9.44E-05
17750,12979.75,123.3229906,4.63E-05,9.44E-05
17800,13009.5,124.109629,4.63E-05,9.44E-05
17850,13041.4,124.5956661,4.63E-05,9.45E-05
17900,13072.55,119.9049624,4.50E-05,8.84E-05
17950,13104.6,119.247306,4.50E-05,8.84E-05
18000,13136.9,120.3611233,4.52E-05,8.88E-05
18050,13169,120.8433697,4.49E-05,8.79E-05
18100,13201.95,121.3230399,4.49E-05,8.78E-05
18150,13229.65,124.0141927,4.49E-05,8.78E-05
18200,13261.7,116.5205561,4.53E-05,8.87E-05
18250,13292.85,117.6724267,4.52E-05,8.85E-05
18300,13321.7,115.4116112,4.60E-05,9.19E-05
18350,13353.3,118.3780385,4.60E-05,9.19E-05
18400,13383.95,120.3258908,4.65E-05,9.09E-05
18450,13415.3,118.5394449,4.65E-05,9.09E-05
18500,13445.65,116.4158065,4.65E-05,9.09E-05
18550,13476.2,119.2731319,4.50E-05,9.10E-05
18600,13509.8,118.9907559,4.52E-05,9.13E-05
18650,13539.65,119.6334401,4.53E-05,9.15E-05
18700,13569.35,116.632414,4.78E-05,9.27E-05
18750,13600.95,112.7194748,4.74E-05,9.11E-05
18800,13632.6,110.0116357,4.95E-05,8.82E-05
18850,13664,108.9902748,4.99E-05,8.91E-05
18900,13694.7,109.3826312,5.24E-05,9.43E-05
18950,13723.05,106.5626576,5.13E-05,9.51E-05
19000,13751.55,105.9992453,5.22E-05,9.57E-05
19050,13781.2,104.1971209,5.24E-05,9.52E-05
19100,13811,101.1145885,5.24E-05,9.52E-05
19150,13841.35,98.32354754,5.24E-05,9.52E-05
19200,13873.05,100.243703,5.33E-05,9.71E-05
19250,13901.2,101.4341165,5.17E-05,9.66E-05
19300,13929.25,100.3573615,5.17E-05,9.66E-05
19350,13955.45,99.7869731,5.19E-05,9.61E-05
19400,13984.15,94.7666608,5.23E-05,9.60E-05
19450,14014.75,93.65340357,5.28E-05,9.72E-05
19500,14046.3,96.29080953,5.27E-05,9.71E-05
19550,14077.05,96.38257104,5.27E-05,9.71E-05
19600,14107.35,95.35156003,5.73E-05,0.000103028
19650,14134.5,95.39056557,5.75E-05,0.000102158
19700,14162.1,97.7817979,5.74E-05,0.000101869
19750,14190.55,97.6553122,6.10E-05,0.000110446
19800,14219.45,101.4053253,6.10E-05,0.000110443
19850,14247.6,100.6538623,6.10E-05,0.000110443
19900,14278.55,106.1319933,6.15E-05,0.000110914
19950,14310.7,105.8240048,6.18E-05,0.000111316
20000,14341.5,102.2365884,6.14E-05,0.000111737
20050,14374.65,100.8166653,6.14E-05,0.00011172
20100,14405.75,99.64858253,6.14E-05,0.000111718
20150,14434.2,97.8831957,6.14E-05,0.000111714
20200,14460.5,99.16612325,6.18E-05,0.000111667
20250,14487.2,103.2674198,6.18E-05,0.000111668
20300,14516,103.2557989,6.21E-05,0.000112555
20350,14544.7,107.3036812,6.22E-05,0.000112495
20400,14571.45,111.4332087,6.22E-05,0.000112497
20450,14600,110.4626634,6.21E-05,0.000112494
20500,14626.45,108.4981106,6.21E-05,0.000112492
20550,14656,105.6371147,6.28E-05,0.000113754
20600,14686.75,107.104435,6.35E-05,0.000113335
20650,14716.8,107.9507295,6.62E-05,0.000114258
20700,14742.45,111.2841408,6.62E-05,0.000114258
20750,14769.65,109.3409347,6.62E-05,0.000114263
20800,14797.6,110.5603907,6.62E-05,0.000114257
20850,14825.3,113.1586497,6.70E-05,0.000112124
20900,14853.95,115.0453823,6.69E-05,0.000112057
20950,14882.35,115.9503342,6.69E-05,0.000112057
21000,14909,115.1197637,6.70E-05,0.000112036
21050,14936.05,115.4971861,6.70E-05,0.000112036
21100,14961.35,113.3041923,6.75E-05,0.000113264
21150,14985.15,110.4916286,6.76E-05,0.000113534
21200,15008.05,109.6733331,6.76E-05,0.000113534
21250,15033.8,112.6765282,6.75E-05,0.000113385
21300,15059.15,111.6304618,6.76E-05,0.000112967
21350,15087.4,107.3021901,6.80E-05,0.000113753
21400,15111.95,111.5128692,6.80E-05,0.000113897
21450,15136.75,115.5425463,6.82E-05,0.000113953
21500,15165,113.4629455,6.82E-05,0.000113952
21550,15189.4,112.8432541,6.82E-05,0.000113951
21600,15215.45,112.2062387,6.82E-05,0.000113919
21650,15237.55,109.121217,6.81E-05,0.000113758
21700,15263.85,112.1809253,6.81E-05,0.000113758
21750,15288.35,110.2629584,6.80E-05,0.000113537
21800,15313.2,108.5773457,6.80E-05,0.000113536
21850,15335.2,112.860622,6.90E-05,0.00011614
21900,15356.75,112.1563195,7.18E-05,0.000112347
21950,15381.1,112.4110315,7.30E-05,0.00011554
22000,15408.4,113.7942002,7.30E-05,0.00011554
22050,15434.45,109.2296663,7.29E-05,0.000115391
22100,15460.1,109.3266665,7.29E-05,0.000115387
22150,15485.65,106.5435122,7.32E-05,0.000116338
22200,15512.55,109.0060549,7.40E-05,0.000117588
22250,15536.95,113.0299075,7.40E-05,0.000117584
22300,15562,111.2866569,7.40E-05,0.00011758
22350,15591.3,112.0985281,7.40E-05,0.000117579
22400,15616.35,114.3965034,7.38E-05,0.000117294
22450,15638.6,112.1263573,7.38E-05,0.000117292
22500,15663.95,109.0552154,7.39E-05,0.000117549
22550,15689.5,108.5239144,7.44E-05,0.000117297
22600,15713.95,109.4447806,7.68E-05,0.000120322
22650,15740.9,109.7152679,7.68E-05,0.000120287
22700,15765.9,109.2538329,7.66E-05,0.000119849
22750,15791.1,111.9721394,7.66E-05,0.000119778
22800,15817.95,109.711622,7.66E-05,0.000119777
22850,15846.45,110.1250199,7.72E-05,0.000121318
22900,15871.85,115.837127,7.94E-05,0.000120129
22950,15896.6,117.1737172,7.94E-05,0.000120851
23000,15921.6,120.6001658,8.12E-05,0.000126217
23050,15942.2,121.9206299,8.10E-05,0.000126185
23100,15964.05,119.0599849,8.09E-05,0.000126183
23150,15987.8,120.9333701,8.51E-05,0.000128816
23200,16013.45,123.6320347,8.51E-05,0.000128761
23250,16037,120.832777,8.62E-05,0.000131785
23300,16059.95,121.2570823,8.58E-05,0.000130872
23350,16081.65,115.5266203,8.58E-05,0.000130872
23400,16105.6,116.8760027,8.59E-05,0.000131101
23450,16130.85,121.3975288,8.58E-05,0.000130924
23500,16156.15,121.3533683,8.60E-05,0.000131011
23550,16181.95,119.9206404,8.63E-05,0.000131909
23600,16202.1,118.0328768,8.61E-05,0.000131665
23650,16223.75,119.7377134,8.64E-05,0.000132319
23700,16246.65,117.6241472,8.65E-05,0.000132615
23750,16269.3,116.406529,8.61E-05,0.0001331
23800,16292.75,116.9892303,8.62E-05,0.000133311
23850,16317.65,115.8719983,8.61E-05,0.000133078
23900,16342.4,111.2032374,8.63E-05,0.000133235
23950,16363,109.185347,8.63E-05,0.000133236
24000,16381.1,109.0548486,8.67E-05,0.000134586
24050,16402.1,108.9858706,8.66E-05,0.000134526
24100,16421.05,110.0039999,8.66E-05,0.000134538
24150,16442.25,107.1358017,8.66E-05,0.000134528
